Description,Abbreviation,Shortcut,Group,Phrase
[GROUP] bed_assistance,,,,
[GROUP] computer_position,,,,
[GROUP] directions,,,,
[GROUP] dog_commands,,,,
[GROUP] google_assistant,,,,
[GROUP] google_broadcast,,,,
[GROUP] google_lights,,,,
[GROUP] google_media_controls,,,,
[GROUP] google_music,,,,
[GROUP] google_news,,,,
[GROUP] google_stop_commands,,,,
[GROUP] google_tv,,,,
[GROUP] health,,,,
[GROUP] media_services,,,,
[GROUP] requests,,,,
[GROUP] scripts,,,,
[GROUP] testing,,,,
[GROUP] text_shortcuts,,,,
[GROUP] wheelchair_assistance,,,,
please adjust my arm pillows,bbpa,,bed_assistance,please adjust my arm pillows
please adjust my head pillow,bbph,,bed_assistance,please adjust my head pillow
please adjust my leg pillow,bbpl,,bed_assistance,please adjust my leg pillow
please cross and bend my legs towards my body,bblb,,bed_assistance,please cross and bend my legs towards my body
please move my head to my left,bbhel,,bed_assistance,please move my head to my left
please move my head to my right,bbher,,bed_assistance,please move my head to my right
please press the custom button to elevate my back...,bbc,,bed_assistance,please press the custom button to elevate my back and legs
please press the flat button on the remote,bbf,,bed_assistance,please press the flat button on the remote
please press the massage button,bbm,,bed_assistance,please press the massage button
please pull me down in the bed,bbd,,bed_assistance,please pull me down in the bed
please pull me up in the bed,bbu,,bed_assistance,please pull me up in the bed
please pull my draw sheet to my left,bbdl,,bed_assistance,please pull my draw sheet to my left
please pull my draw sheet to my right,bbdr,,bed_assistance,please pull my draw sheet to my right
please pull my elbows out left,bbel,,bed_assistance,please pull my elbows out left
please pull my elbows out rright,bber,,bed_assistance,please pull my elbows out rright
please pull my hips to my left,bbhl,,bed_assistance,please pull my hips to my left
please pull my hips to my right,bbhr,,bed_assistance,please pull my hips to my right
please pull my legs to my left,bbll,,bed_assistance,please pull my legs to my left
please pull my legs to my right,bblr,,bed_assistance,please pull my legs to my right
please pull my shoulder blade out left,bbsbl,,bed_assistance,please pull my shoulder blade out left
please pull my shoulder blade out right,bbsbr,,bed_assistance,please pull my shoulder blade out right
please pull my shoulders to my left,bbsl,,bed_assistance,please pull my shoulders to my left
please pull my shoulders to my right,bbsr,,bed_assistance,please pull my shoulders to my right
please turn me on my left side,bbl,,bed_assistance,please turn me on my left side
please turn me on my right side,bbr,,bed_assistance,please turn me on my right side
please move my computer to my left towards the...,pcl,,computer_position,please move my computer to my left towards the bathroom
please move my computer to the right towards the...,pcr,,computer_position,please move my computer to the right towards the ventilator
